,datetime,neutral,positive,negative
387,2023-05-24,0.52483267,0.27590537,0.19926198
388,2023-05-25,0.3809174,0.42211464,0.19696794
389,2023-05-26,0.4571289,0.3641657,0.1787054
390,2023-05-27,0.37550658,0.49149045,0.13300301
391,2023-05-28,0.33226624,0.40490788,0.26282585
392,2023-05-29,0.47059616,0.39451328,0.13489056
393,2023-05-30,0.47960415,0.36882707,0.15156877
394,2023-05-31,0.5200233,0.2857099,0.19426686
395,2023-06-01,0.47100016,0.3157003,0.21329954
396,2023-06-02,0.49151757,0.35785612,0.1506263
397,2023-06-03,0.5459323,0.31301767,0.14105004
398,2023-06-04,0.3465383,0.41205198,0.24140973
399,2023-06-05,0.48759925,0.34568,0.16672075
400,2023-06-06,0.4839777,0.26625645,0.24976583
401,2023-06-07,0.5047948,0.35319847,0.14200677
402,2023-06-08,0.512736,0.36263937,0.12462465
403,2023-06-09,0.4227615,0.4590821,0.11815642
404,2023-06-10,0.39699376,0.27953845,0.3234678
405,2023-06-11,0.679908,0.13540222,0.18468982
406,2023-06-12,0.43181485,0.42622676,0.1419584
407,2023-06-13,0.45380318,0.392826,0.15337081
408,2023-06-14,0.449002,0.34127945,0.20971853
409,2023-06-15,0.4630204,0.3443508,0.19262874
410,2023-06-16,0.5392585,0.3556471,0.1050944
411,2023-06-17,0.43897554,0.34410617,0.21691829
412,2023-06-18,0.42092982,0.38931704,0.18975314
413,2023-06-19,0.57818735,0.33701724,0.084795415
414,2023-06-20,0.4931837,0.33998284,0.16683348
415,2023-06-21,0.43919805,0.2685102,0.29229176
416,2023-06-22,0.45049444,0.3486306,0.20087495
417,2023-06-23,0.41144887,0.35320762,0.2353435
418,2023-06-24,0.52014524,0.20571542,0.2741393
419,2023-06-25,0.20573278,0.7165731,0.07769411
420,2023-06-26,0.455229,0.28059757,0.26417342
421,2023-06-27,0.45528203,0.3433323,0.20138568
422,2023-06-28,0.52169806,0.3364538,0.14184816
423,2023-06-29,0.46008602,0.3560462,0.18386777
424,2023-06-30,0.41102237,0.39816466,0.190813
425,2023-07-01,0.5134831,0.3945765,0.091940396
426,2023-07-02,0.24489352,0.6137392,0.14136732
427,2023-07-03,0.3755987,0.50566137,0.11873995
428,2023-07-04,0.4756458,0.2870641,0.2372901
429,2023-07-05,0.4618902,0.3593385,0.17877132
